SPECIESID,SPECIESNAME,SCIENTIFIC_NAME,WORMS
NRK,White Barracudina,Arctozenus risso,
HEM,,Argyropelecus Hemigymnus,
CRO,,Lampanyctus Crocodilus,
AJQ,Common jellyfish,Aurelia aurita,
HKE,European Hake,Merluccius merluccius,126484
ALI,Lancetfishes nei,Alepisaurus spp,
CAB,Northern wolffish,Anarhichas denticulatus,
THC,Ask Iceland!,,
NRD,,Notolepis rissoi,
CTL,,,
PAN,,Pandalus spp,
PIR,,Paralepis coregonoides,
PLA,,Hippoglossoides platessoides,127137
SCM,,,
AXC,Bluntsnout smooth-head,Xenodermichthys copei,
ASB,Bean's sawtooth eel,Serrivomer beani,
PSO,Koefoed's searsid,Searsia koefoedi,
OLM,,Pollichthys mauli,
ANM,Slender snipe eel,Nemichthys scolopaceus,
GHL,Greenland halibut,Reinhardtius hippoglossoides,
NRO,Straightnosed pipefish,Nerophis Ophidion,
PLK,Plankton,Planktonemertidae,
BKF,Blackfish,Centrolophus niger,
CAP,Capelin,Mallotus villosus,
GAD,Gadiformes,,
COD,Cod,Gadus morhua,126436
CPZ,Snubnose Pipefish,Cosmocampus Arctus,
GGL,Greenland Argentine,Nansenia groenlandica,
GUG,Grey Gurnard,Eutrigla gurnardus,150637
HAD,Haddock,Melanogrammus aeglefinus,126437
HER,Herring,Clupea harengus,126417
HOM,Horse mackerel,Trachurus trachurus,126822
HTF,Hachetfish,Argyropelecus olfersi,
INT,Lantern fish,Lampanyctus intricarius,
KRZ,Krill,Euphausiidae,
LPR,Glacier lantern fish,Benthosema glaciale,
LUM,Lumpsucker,Cyclopterus lumpus,127214
MAC,Mackerel,Scomber scombrus,127023
MPR,Kroyer's lantern fish,Notoscopelus elongatus kroeyeri,
MYX,Lanternfishes,Myctophidae,125498
PLC,Lancetfish,Paralepis coregonoides borealis,
PLS,Pearl side,Maurolicus muelleri,
POA,Ray's Bream,Brama brama,
POK,Saithe,Pollachius virens,126441
REB,Deepwater Redfish,Sebastes mentella,
